AircraftName,VariantName,Range
Nebula Knight,Mk.I-94,7029.95
Nebula Knight,100-23,7502.69
Nebula Knight,Mk.I-74,7786.0
Quantum Racer,100-95,6514.2
Quantum Racer,ER-97,7463.71
Quantum Racer,LR-79,7826.91
Quantum Racer,200-11,7286.62
Tempest Turbo,200-34,3447.37
Tempest Turbo,Max-31,1662.3
Tempest Turbo,ER-99,2258.83
Tempest Turbo,B-49,3234.42
Valkyrie Vengeance,100-52,2048.56
Valkyrie Vengeance,Max-25,5031.55
Valkyrie Vengeance,ER-76,2375.3
Valkyrie Vengeance,A-10,4344.26
Phalanx Phighter,LR-20,6250.23
Phalanx Phighter,A-57,606.33
Phalanx Phighter,ER-82,640.45
Phalanx Phighter,200-42,7350.07
Titanium Tempest,B-21,511.53
Titanium Tempest,ER-88,2618.81
Titanium Tempest,100-51,3233.86
Titanium Tempest,A-70,4255.5
Gryphon Guard,ER-47,2241.9
Gryphon Guard,Max-44,6042.21
Gryphon Guard,100-9,6255.33
Gryphon Guard,Mk.I-86,4605.94
Phoenix Phire,B-26,5707.65
Phoenix Phire,Max-6,5784.96
Phoenix Phire,Neo-28,1084.12
Phoenix Phire,ER-99,3164.13
Nebula Nexus,100-10,6312.37
Nebula Nexus,200-76,2566.7
Nebula Nexus,A-70,775.62
Nebula Nexus,100-33,5037.47
Spectral Streak,B-42,4712.41
Spectral Streak,Neo-85,5559.75
Spectral Streak,100-10,3422.6
Spectral Streak,Max-80,6225.54
Cosmic Crusader,LR-91,5802.44
Cosmic Crusader,200-90,721.82
Cosmic Crusader,B-69,4144.83
Cosmic Crusader,Max-4,4311.63
Avalon Avenger,B-60,520.65
Avalon Avenger,100-52,5289.92
Avalon Avenger,Neo-2,4742.6
Avalon Avenger,Neo-57,7245.7
Radiant Raptor,Max-15,1347.67
Radiant Raptor,A-5,1565.31
Radiant Raptor,Neo-29,778.07
Radiant Raptor,200-67,6571.14
Meteorite Marauder,Mk.I-46,4007.45
Meteorite Marauder,A-33,5325.55
Meteorite Marauder,LR-79,3185.57
Nebula Nightfall,A-50,2108.34
Nebula Nightfall,LR-87,5229.54
Nebula Nightfall,Neo-47,2753.04
Nebula Nightfall,200-5,6116.89
Orion Odyssey,A-41,3635.62
Orion Odyssey,LR-83,6808.95
Orion Odyssey,200-43,1297.66
Orion Odyssey,200-14,1137.11
Apex Arrow,100-27,1342.87
Apex Arrow,100-96,1441.65
Apex Arrow,Mk.I-88,1584.71
Apex Arrow,100-45,1468.24
Blaze Breaker,Max-94,7539.24
Blaze Breaker,A-10,7211.59
Blaze Breaker,B-81,6646.43
Blaze Breaker,Mk.I-39,5737.6
Dawnbreaker D-1,100-37,3511.4
Dawnbreaker D-1,100-56,1193.83
Dawnbreaker D-1,100-85,6881.54
Dawnbreaker D-1,ER-8,2575.41
Eclipse Enforcer,B-81,788.72
Eclipse Enforcer,Mk.I-45,7015.53
Eclipse Enforcer,A-9,7935.88
Eclipse Enforcer,ER-17,1884.71
Frostfire Fury,B-22,7211.17
Frostfire Fury,Max-3,1876.71
Frostfire Fury,Neo-15,3343.75
Frostfire Fury,LR-97,4674.36
Galactica Guardian,Max-80,3385.71
Galactica Guardian,ER-39,1424.48
Galactica Guardian,B-5,3868.71
Galactica Guardian,A-18,7715.14
Astraeus901,B-24,4917.99
Astraeus901,A-87,2721.41
Astraeus901,Max-74,5588.34
Astraeus901,A-92,805.86
Vulcan X-7,LR-61,7250.53
Vulcan X-7,Neo-79,2210.38
Vulcan X-7,200-81,6423.28
Vulcan X-7,Neo-85,7217.34
Aurora Solar...,Max-78,6560.65
Aurora Solar...,LR-57,7849.74
Aurora Solar...,Neo-5,4818.98
Aurora Solar...,200-11,3214.74
Tempest V,Mk.I-96,6507.15
Tempest V,200-2,2971.63
Tempest V,100-46,1793.91
Tempest V,200-19,2679.79
Zephyr XE-300,Max-76,7194.36
Zephyr XE-300,Neo-69,1481.06
Zephyr XE-300,100-31,4595.77
Zephyr XE-300,Max-54,4922.69
Nimbus 7A,Neo-1,4768.56
Nimbus 7A,Mk.I-94,2596.11
Nimbus 7A,Max-7,7972.6
Nimbus 7A,B-48,831.22
SkyRider 4000,Mk.I-2,2716.8
SkyRider 4000,ER-32,1457.75
SkyRider 4000,200-32,4280.62
SkyRider 4000,LR-43,2390.35
Phantom Falcon,LR-60,7594.99
Phantom Falcon,LR-28,3487.79
Phantom Falcon,B-71,3604.52
Phantom Falcon,Neo-61,1274.51
Celestial Hawk,ER-54,7326.41
Celestial Hawk,Mk.I-68,5530.73
Celestial Hawk,A-23,2665.03
Celestial Hawk,Mk.I-92,4043.42
Obsidian Drake,LR-23,6520.57
Obsidian Drake,ER-37,5108.53
Obsidian Drake,Mk.I-2,4627.63
Obsidian Drake,200-43,2614.92
Eclipse Titan,100-91,579.92
Eclipse Titan,B-65,7942.59
Eclipse Titan,A-38,1296.29
Eclipse Titan,ER-42,3307.66
Luna Guardian,B-68,7024.33
Luna Guardian,100-88,2011.11
Luna Guardian,ER-80,7747.84
Luna Guardian,Max-54,3662.43
Maverick Raptor,B-4,4517.1
Maverick Raptor,Max-52,4302.74
Maverick Raptor,Neo-47,7983.83
Maverick Raptor,Neo-32,2007.24
Storm Chaser,200-64,1984.9
Storm Chaser,A-89,6368.96
Storm Chaser,ER-82,4538.19
Storm Chaser,Neo-32,1296.54
Ironclad Wyvern,100-73,2418.37
Ironclad Wyvern,Max-3,3513.99
Ironclad Wyvern,LR-50,5307.98
Ironclad Wyvern,100-2,3612.93
Nebula Wanderer,A-89,6583.79
Nebula Wanderer,200-30,5151.02
Nebula Wanderer,100-50,904.06
Nebula Wanderer,Max-76,6509.8
Phoenix Aurora,Neo-43,7132.04
Phoenix Aurora,B-22,6339.89
Phoenix Aurora,Max-55,2291.14
Phoenix Aurora,ER-67,1399.16
Vigilant Sable,200-71,2589.83
Vigilant Sable,Neo-40,3963.09
Vigilant Sable,ER-88,2596.45
Vigilant Sable,ER-12,5585.04
Specter Wasp,ER-64,3984.52
Specter Wasp,200-25,3238.23
Specter Wasp,Mk.I-4,4214.81
Specter Wasp,ER-60,5238.35
Terra Nova,LR-27,7142.25
Terra Nova,Neo-80,6667.81
Terra Nova,ER-6,3794.7
Terra Nova,200-89,5897.04
Gale Whisper,Mk.I-78,6124.77
Gale Whisper,LR-43,5979.42
Gale Whisper,Mk.I-92,7336.61
Gale Whisper,200-11,4545.63
Raptor Zephyr,A-60,4773.59
Raptor Zephyr,100-80,2406.81
Raptor Zephyr,B-94,2773.63
Raptor Zephyr,Mk.I-24,1513.55
Solaris Eclipse,B-22,7993.25
Solaris Eclipse,LR-23,4866.33
Solaris Eclipse,B-26,5926.07
Solaris Eclipse,A-17,6888.37
Silverwing 200,LR-33,6335.98
Silverwing 200,A-81,6655.44
Silverwing 200,Mk.I-47,3701.99
Silverwing 200,LR-20,3801.96
Oblivion Cruiser,Mk.I-98,4186.57
Oblivion Cruiser,B-27,1114.88
Oblivion Cruiser,A-96,6843.27
Oblivion Cruiser,100-34,5631.19
Everstorm 57,B-42,6729.48
Everstorm 57,A-52,2843.77
Everstorm 57,B-32,677.46
Everstorm 57,200-92,7959.32
Nimbus Dawn,A-41,6365.43
Nimbus Dawn,B-90,761.19
Nimbus Dawn,Neo-70,7832.87
Nimbus Dawn,Mk.I-76,7903.7
Celeste Voyager,Mk.I-74,4158.7
Celeste Voyager,LR-10,6862.22
Celeste Voyager,200-23,1862.98
Celeste Voyager,Max-67,2843.78
Ironflare,ER-82,7610.96
Ironflare,A-61,3241.65
Ironflare,Max-2,2625.11
Quantum Arrow,A-54,6615.92
Quantum Arrow,ER-83,2077.99
Quantum Arrow,ER-80,3499.33
Quantum Arrow,Max-35,7074.01
Apex Predator,100-4,1660.55
Apex Predator,B-13,1122.39
Apex Predator,Neo-79,2519.49
Apex Predator,A-12,7080.16
Nova Recon,A-96,3490.98
Nova Recon,B-67,6572.06
Nova Recon,LR-17,892.71
Eclipse Runner,ER-52,5563.19
Eclipse Runner,ER-77,2461.3
Eclipse Runner,100-88,2063.67
Eclipse Runner,200-28,3522.22
Sable Blade,Neo-5,3886.57
Sable Blade,Mk.I-67,1326.57
Sable Blade,ER-95,2415.3
Sable Blade,Mk.I-33,2388.85
Volture,Neo-38,7042.32
Volture,A-4,4622.62
Volture,Mk.I-98,7057.57
Volture,200-96,2475.13
Zenith Fury,B-78,2994.05
Zenith Fury,LR-92,2848.94
Zenith Fury,Max-35,3558.17
Zenith Fury,100-25,4731.39
Arcadia,200-23,6867.04
Arcadia,Max-9,4754.11
Arcadia,LR-38,2259.47
Arcadia,ER-80,5600.67
Helix Striker,ER-75,2832.4
Helix Striker,ER-82,4198.21
Helix Striker,A-9,3804.14
Helix Striker,Max-5,3292.08
Gryphon V,100-84,2903.24
Gryphon V,Max-65,4681.72
Gryphon V,LR-10,2497.83
Gryphon V,B-19,7968.76
Phoenix Apex,100-58,687.81
Phoenix Apex,LR-64,1789.35
Phoenix Apex,Neo-2,6664.89
Phoenix Apex,Neo-47,4595.01
Chronos Mark II,100-79,4664.71
Chronos Mark II,Neo-79,7953.55
Chronos Mark II,100-30,5454.39
Chronos Mark II,200-12,6559.7
Lycanthrope,Mk.I-99,715.78
Lycanthrope,LR-20,3079.55
Lycanthrope,Mk.I-60,5232.5
Lycanthrope,B-4,4707.32
Tempest Rogue,ER-37,3574.61
Tempest Rogue,B-80,944.97
Tempest Rogue,Mk.I-94,5514.56
Tempest Rogue,200-57,756.26
Astra Fleet,Mk.I-60,5589.22
Astra Fleet,Mk.I-71,7399.01
Astra Fleet,Max-59,7467.85
Astra Fleet,Max-10,5686.85
Nebula Corsair,Neo-29,2342.53
Nebula Corsair,B-9,2427.29
Nebula Corsair,100-26,6261.43
Nebula Corsair,200-86,5886.37
Spectral Hawk,Mk.I-19,7169.24
Spectral Hawk,Max-42,1442.93
Spectral Hawk,LR-45,1221.55
Spectral Hawk,Mk.I-31,5169.52
Vortex Striker,ER-40,6883.5
Vortex Striker,Mk.I-33,6337.19
Vortex Striker,A-60,3860.78
Vortex Striker,200-42,3644.95
Oblivion Raven,Max-3,4036.74
Oblivion Raven,100-72,4287.27
Oblivion Raven,B-46,4785.33
Oblivion Raven,LR-58,6691.64
Stratos Breaker,100-96,698.93
Stratos Breaker,200-35,6319.61
Stratos Breaker,ER-48,2246.17
Stratos Breaker,Mk.I-5,3567.43
Zenith Shade,Max-5,3909.89
Zenith Shade,A-60,4208.45
Zenith Shade,100-35,1258.68
Zenith Shade,ER-89,1772.52
Pinnacle Raptor,Neo-53,2170.24
Pinnacle Raptor,Mk.I-71,712.02
Pinnacle Raptor,LR-73,6380.4
Pinnacle Raptor,Max-78,2296.55
Glacier Fury,LR-57,6533.47
Glacier Fury,Max-11,5936.83
Glacier Fury,200-83,4257.24
Glacier Fury,B-85,5161.8
Aetherial,200-66,5745.7
Aetherial,LR-50,4640.69
Aetherial,LR-33,2276.47
Aetherial,B-13,5084.69
Cobalt Wraith,100-23,1661.87
Cobalt Wraith,ER-99,775.42
Cobalt Wraith,Max-11,3979.0
Cobalt Wraith,B-68,1663.01
Quantum Harbinger,LR-10,985.87
Quantum Harbinger,Max-43,4351.72
Quantum Harbinger,Max-25,6943.8
Quantum Harbinger,A-89,6769.8
Silvershadow,Neo-16,6650.93
Silvershadow,Max-62,932.6
Silvershadow,LR-61,4912.04
Silvershadow,Mk.I-7,661.38
Rogue Mantis,A-15,7943.92
Rogue Mantis,Max-59,4320.05
Rogue Mantis,Mk.I-86,4273.6
Rogue Mantis,A-25,4007.45
Eclipse Vanguard,Neo-13,1736.12
Eclipse Vanguard,Mk.I-31,4378.98
Eclipse Vanguard,200-82,7772.91
Eclipse Vanguard,LR-74,2221.16
Aurora Veil,Mk.I-78,4767.04
Aurora Veil,100-30,5340.85
Aurora Veil,B-38,2202.28
Aurora Veil,Max-18,3158.22
Titanic Talon,Mk.I-7,7643.41
Titanic Talon,B-4,4010.6
Titanic Talon,200-91,7449.49
Titanic Talon,ER-8,4335.17
Blazing Earth,Max-35,5519.18
Blazing Earth,200-69,4249.93
Blazing Earth,LR-3,1623.94
Blazing Earth,B-88,7111.15
Nebular Flight,Neo-77,6499.3
Nebular Flight,B-88,6737.35
Nebular Flight,ER-66,2962.35
Nebular Flight,200-72,2332.71
Phantom Raptor,B-45,6463.83
Phantom Raptor,100-53,5811.92
Phantom Raptor,Neo-97,3864.71
Phantom Raptor,Mk.I-67,2073.74
Skyline Predator,100-92,2600.82
Skyline Predator,A-54,3592.57
Skyline Predator,200-79,2454.88
Skyline Predator,200-82,4486.35
Glimmer Star,100-76,2018.21
Glimmer Star,B-3,4557.73
Glimmer Star,Mk.I-19,1260.58
Glimmer Star,Neo-30,2300.29
Tempest Flare,Mk.I-7,6798.29
Tempest Flare,ER-76,5758.33
Tempest Flare,Neo-99,4711.5
Tempest Flare,200-91,2558.56
Falcon V,ER-35,5663.07
Falcon V,ER-52,6411.72
Falcon V,Neo-11,7435.79
Falcon V,B-34,4783.84
Silverwind,Mk.I-89,1164.61
Silverwind,Neo-2,5726.09
Silverwind,ER-89,5934.79
Silverwind,B-5,928.25
Nova Sentinel,Max-76,5935.93
Nova Sentinel,ER-35,5264.16
Nova Sentinel,ER-16,6635.35
Nova Sentinel,LR-54,7600.08
Radiant Tempest,Neo-30,5332.22
Radiant Tempest,Mk.I-3,6762.7
Radiant Tempest,ER-20,4791.41
Obsidian Vortex,Mk.I-31,1214.3
Obsidian Vortex,B-71,2580.56
Obsidian Vortex,Max-2,796.88
Obsidian Vortex,Max-37,1890.71
Helix Blade,LR-69,4558.9
Helix Blade,Mk.I-51,1390.81
Helix Blade,200-90,2263.72
Helix Blade,Max-26,6113.19
Aurora Echo,200-10,7240.72
Aurora Echo,A-27,6275.77
Aurora Echo,Max-54,4397.57
Aurora Echo,100-58,2629.66
Spectral Knight,100-13,7205.93
Spectral Knight,Mk.I-92,3206.66
Spectral Knight,100-4,3959.7
Spectral Knight,200-2,6146.08
Valkyrie Dawn,200-91,1495.06
Valkyrie Dawn,ER-65,7794.03
Valkyrie Dawn,Neo-88,1803.71
Valkyrie Dawn,B-88,7885.59
Zenith Pulse,LR-91,6439.22
Zenith Pulse,ER-89,2841.1
Zenith Pulse,Neo-64,1934.37
Zenith Pulse,Mk.I-33,6368.58
Apex Horizon,B-96,5526.01
Apex Horizon,B-68,5754.22
Apex Horizon,B-13,2744.44
Apex Horizon,Max-50,2498.77
Cobalt Rift,200-93,6597.34
Cobalt Rift,100-35,1576.84
Cobalt Rift,Max-3,2398.04
Cobalt Rift,Max-32,1789.19
Quantum Nexus,100-58,2043.9
Quantum Nexus,100-61,6730.04
Quantum Nexus,200-70,2178.94
Quantum Nexus,A-96,3413.27
Iron Echelon,Max-54,3706.89
Iron Echelon,Max-35,7259.85
Iron Echelon,A-87,1995.16
Iron Echelon,ER-88,5422.32
Nebula Echo,B-44,1641.55
Nebula Echo,LR-69,3828.47
Nebula Echo,200-86,7319.81
Nebula Echo,LR-82,3111.13
Phoenix V,ER-99,1259.12
Phoenix V,200-7,7100.65
Phoenix V,Neo-5,606.16
Phoenix V,B-55,4606.5
Glide Ranger,Mk.I-27,3506.38
Glide Ranger,Mk.I-56,4979.79
Glide Ranger,B-90,7395.72
Glide Ranger,B-6,7836.48
Stormbreaker,LR-35,6800.78
Stormbreaker,B-27,1500.33
Stormbreaker,ER-96,1493.6
Stormbreaker,A-17,2994.42
Terra Cyclone,200-93,707.3
Terra Cyclone,100-82,6818.31
Terra Cyclone,Neo-5,4565.18
Terra Cyclone,B-43,5115.47
Vigilant Apex,LR-54,2016.68
Vigilant Apex,LR-78,1191.92
Vigilant Apex,Neo-86,1087.99
Vigilant Apex,LR-8,1338.47
Luminous Fury,ER-6,5303.15
Luminous Fury,Max-21,737.1
Luminous Fury,Mk.I-53,5689.19
Luminous Fury,LR-96,5586.39
Eclipse Cipher,100-28,3868.7
Eclipse Cipher,200-81,2723.97
Eclipse Cipher,ER-20,4703.97
Eclipse Cipher,200-66,6272.44
Gryphon Talon,100-54,2057.58
Gryphon Talon,Max-65,4447.46
Gryphon Talon,Neo-77,4114.08
Gryphon Talon,Max-52,840.07
Quantum Vanguard,Max-5,6609.89
Quantum Vanguard,LR-55,1931.8
Quantum Vanguard,100-73,3108.39
Quantum Vanguard,200-33,5870.63
Aurora Cyclone,LR-20,6942.22
Aurora Cyclone,100-27,4177.74
Aurora Cyclone,Max-88,3954.47
Aurora Cyclone,100-85,5534.97
Tempest Whisper,ER-66,6335.78
Tempest Whisper,Max-43,6505.4
Tempest Whisper,A-92,6844.98
Tempest Whisper,LR-27,6836.55
Mitsubishi SpaceJet,ER-80,3075.17
Mitsubishi SpaceJet,Mk.I-1,4399.63
Mitsubishi SpaceJet,LR-36,568.65
Mitsubishi SpaceJet,Neo-11,2981.07
Antonov An-210,100-25,3671.02
Antonov An-210,200-70,5750.89
Antonov An-210,Max-25,736.5
Antonov An-210,B-89,1063.38
Airbus A350-900,100-8,3237.21
Airbus A350-900,LR-45,4698.99
Airbus A350-900,100-58,6499.95
Airbus A350-900,A-18,3949.2
Lockheed F-35 Lightning II,200-35,7935.32
Lockheed F-35 Lightning II,ER-66,7000.05
Lockheed F-35 Lightning II,Mk.I-94,692.83
Lockheed F-35 Lightning II,Max-61,4171.0
Boeing 787-9 Dreamliner,Max-80,2678.94
Boeing 787-9 Dreamliner,100-44,6645.6
Boeing 787-9 Dreamliner,100-52,1597.37
Boeing 787-9 Dreamliner,B-51,4855.83
Bombardier CRJ900,100-57,2623.89
Bombardier CRJ900,A-70,5571.02
Bombardier CRJ900,A-26,6314.92
Bombardier CRJ900,A-35,6527.79
Beechcraft King Air 350,ER-95,5069.63
Beechcraft King Air 350,A-48,796.65
Beechcraft King Air 350,Mk.I-72,1439.18
Beechcraft King Air 350,Max-32,4464.89
Eurocopter EC135,100-31,3844.79
Eurocopter EC135,LR-97,5131.58
Eurocopter EC135,Mk.I-7,5311.32
Eurocopter EC135,200-11,738.07
AgustaWestland AW101,100-76,6808.68
AgustaWestland AW101,Max-1,1191.53
AgustaWestland AW101,ER-97,4038.91
AgustaWestland AW101,200-62,7589.74
Lockheed Martin P-3 Orion,100-62,1875.46
Lockheed Martin P-3 Orion,Mk.I-95,3085.68
Lockheed Martin P-3 Orion,100-83,3869.89
Lockheed Martin P-3 Orion,100-36,6163.78
de Havilland DH.98 Mosquito,B-27,5456.36
de Havilland DH.98 Mosquito,Max-55,5491.57
de Havilland DH.98 Mosquito,200-14,5269.53
de Havilland DH.98 Mosquito,100-15,7988.61
Ilya Muromets,Neo-63,1339.4
Ilya Muromets,Mk.I-53,7686.59
Ilya Muromets,100-42,3154.68
Ilya Muromets,100-87,2467.3
Airbus A340-600,200-63,6060.68
Airbus A340-600,A-66,5909.04
Airbus A340-600,LR-82,697.12
Airbus A340-600,Max-55,5913.8
Boeing 757-300,200-33,7532.06
Boeing 757-300,100-44,4338.95
Boeing 757-300,Mk.I-57,2006.67
Boeing 757-300,ER-20,1581.94
Airbus A330-300,B-55,3983.74
Airbus A330-300,100-77,6303.88
Airbus A330-300,200-28,7933.48
Airbus A330-300,100-42,7445.35
Boeing 767-300ER,A-9,794.28
Boeing 767-300ER,ER-8,4598.24
Boeing 767-300ER,B-77,3922.66
Boeing 767-300ER,A-36,7554.82
Cessna Citation Longitude,Neo-77,3723.74
Cessna Citation Longitude,B-65,6818.42
Cessna Citation Longitude,Neo-38,936.26
Cessna Citation Longitude,Mk.I-47,7869.55
Tecnam P2006T,Mk.I-26,6070.83
Tecnam P2006T,A-81,1863.05
Tecnam P2006T,LR-68,4962.67
Tecnam P2006T,A-43,5942.42
Pipistrel Velis H2,A-43,2553.07
Pipistrel Velis H2,A-38,2317.42
Pipistrel Velis H2,LR-68,5791.76
Pipistrel Velis H2,B-77,7088.8
Cirrus SR22,200-27,6631.85
Cirrus SR22,Mk.I-28,4611.19
Cirrus SR22,200-41,1441.32
Cirrus SR22,ER-13,4572.52
Mooney M20 Mongoose,Mk.I-11,6326.49
Mooney M20 Mongoose,100-33,1446.76
Mooney M20 Mongoose,100-61,2985.52
Mooney M20 Mongoose,200-82,1676.81
Piper PA-28 Cherokee Warrior,B-87,4212.79
Piper PA-28 Cherokee Warrior,A-40,4891.78
Piper PA-28 Cherokee Warrior,Max-40,4724.84
Piper PA-28 Cherokee Warrior,100-90,6589.53
MD Helicopters MD 500,Max-7,4933.24
MD Helicopters MD 500,200-77,7936.11
MD Helicopters MD 500,Max-33,1605.2
MD Helicopters MD 500,Neo-97,3285.65
Robinson R66 Turbine,200-81,3090.84
Robinson R66 Turbine,Mk.I-35,6087.69
Robinson R66 Turbine,Mk.I-78,7199.86
Robinson R66 Turbine,Max-10,3380.24
Aerospatiale Alouette III,B-32,757.03
Aerospatiale Alouette III,B-21,3290.84
Aerospatiale Alouette III,A-18,1742.82
Aerospatiale Alouette III,200-81,6047.37
AugustaWestland AW139,100-29,2450.1
AugustaWestland AW139,Max-62,7661.19
AugustaWestland AW139,Mk.I-5,4414.48
AugustaWestland AW139,B-56,1000.04
Airbus H125,ER-58,7678.93
Airbus H125,LR-67,1523.66
Airbus H125,Mk.I-33,6936.22
Airbus H125,200-68,3234.02
Airbus H130,ER-88,7088.06
Airbus H130,ER-17,4792.4
Airbus H130,Neo-43,5778.38
Airbus H130,Max-55,7428.1
Bell 447,B-30,1438.13
Bell 447,200-66,7375.61
Bell 447,Mk.I-7,774.45
Bell 447,Mk.I-76,2929.8
Dornier Do 335,LR-35,3816.09
Dornier Do 335,200-11,835.09
Dornier Do 335,LR-23,6217.46
Heinkel He 219,Mk.I-92,6697.3
Heinkel He 219,Neo-32,6114.65
Heinkel He 219,200-53,3268.2
Heinkel He 219,A-36,6993.61
Bachem Ba 349 Natter,B-78,3328.84
Bachem Ba 349 Natter,200-97,6579.97
Bachem Ba 349 Natter,B-35,1533.96
Bachem Ba 349 Natter,A-5,6435.77
Heinkel He 162 Salamander,Max-51,4151.58
Heinkel He 162 Salamander,100-90,2600.23
Heinkel He 162 Salamander,100-61,5680.87
Heinkel He 162 Salamander,200-67,770.87
Junkers Ju 52,Mk.I-1,4657.1
Junkers Ju 52,Mk.I-53,1879.95
Junkers Ju 52,Neo-13,7253.97
Junkers Ju 52,A-89,3732.98
Fairey Firefly,Neo-69,4287.35
Fairey Firefly,200-33,2688.98
Fairey Firefly,Mk.I-74,5093.64
Fairey Firefly,A-86,1022.51
Supermarine Seafire,A-50,1529.74
Supermarine Seafire,Neo-48,7953.89
Supermarine Seafire,Neo-40,5965.57
Supermarine Seafire,Max-95,1724.2
Vickers VC.10,LR-7,6675.44
Vickers VC.10,A-23,6760.11
Vickers VC.10,Neo-78,6676.88
Vickers VC.10,Neo-96,6455.97
Airbus A321,LR-60,4878.39
Airbus A321,ER-62,4319.4
Airbus A321,Neo-1,2886.37
Airbus A321,ER-40,7841.74
North American XP-51 Mustang,A-77,4085.21
North American XP-51 Mustang,LR-99,2594.09
North American XP-51 Mustang,Mk.I-5,1517.88
North American XP-51 Mustang,100-49,2803.55
de Havilland DH.106 Vampire,A-40,6562.49
de Havilland DH.106 Vampire,Mk.I-51,6361.26
de Havilland DH.106 Vampire,LR-82,3779.17
de Havilland DH.106 Vampire,ER-22,1316.13
Supermarine Swift,Neo-3,5539.51
Supermarine Swift,A-11,1775.24
Supermarine Swift,200-87,1349.41
Supermarine Swift,B-38,6093.99
Douglas C-47 Skytrain,A-54,4282.56
Douglas C-47 Skytrain,Mk.I-97,554.08
Douglas C-47 Skytrain,Max-51,1142.42
Douglas C-47 Skytrain,ER-66,6743.06
Antonov An-72,ER-3,606.33
Antonov An-72,LR-28,1390.97
Antonov An-72,B-49,6740.57
Antonov An-72,200-59,2278.64
Antonov An-78,100-33,1133.15
Antonov An-78,B-16,4325.92
Antonov An-78,ER-13,2299.78
Antonov An-78,200-86,5986.12
Aeroflot Sukhoi Superjet 100,200-15,1302.88
Aeroflot Sukhoi Superjet 100,200-28,7220.51
Aeroflot Sukhoi Superjet 100,B-98,644.73
Aeroflot Sukhoi Superjet 100,Neo-10,3024.61
Irkut MC-21,LR-14,2409.39
Irkut MC-21,200-39,3404.88
Irkut MC-21,LR-55,2550.43
Irkut MC-21,LR-32,6699.44
Yakovlev Yak-9,200-67,1545.62
Yakovlev Yak-9,Max-63,707.68
Yakovlev Yak-9,Mk.I-80,1871.4
Yakovlev Yak-9,LR-11,2555.34
Sukhoi Su-27 Flanker,200-25,7217.24
Sukhoi Su-27 Flanker,A-77,2510.95
Sukhoi Su-27 Flanker,Max-10,4165.56
Sukhoi Su-27 Flanker,Neo-29,1225.75
Lockheed Martin F-16 Fighting Falcon,Neo-23,7322.02
Lockheed Martin F-16 Fighting Falcon,B-65,6211.89
Lockheed Martin F-16 Fighting Falcon,100-91,1497.0
Lockheed Martin F-16 Fighting Falcon,100-31,1408.15
Chengdu J-20,B-67,4579.96
Chengdu J-20,200-3,2682.66
Chengdu J-20,A-25,6602.8
Chengdu J-20,A-33,7845.06
Piper Cub,200-69,7166.35
Piper Cub,200-35,6111.04
Piper Cub,LR-38,6740.35
Piper Cub,B-67,6358.71
Bristol Beaufort,LR-53,1022.62
Bristol Beaufort,100-72,7988.03
Bristol Beaufort,100-87,4696.65
Bristol Beaufort,A-50,7104.45
Dornier Do 27,ER-72,4243.02
Dornier Do 27,B-40,794.5
Dornier Do 27,LR-28,1869.54
Dornier Do 27,200-11,3500.1
Antonov An-22 Antei,200-65,1067.22
Antonov An-22 Antei,200-19,2308.0
Antonov An-22 Antei,100-10,1668.51
Antonov An-22 Antei,ER-76,3272.64
Boeing 720,100-91,5515.67
Boeing 720,Max-62,2641.02
Boeing 720,100-74,3739.13
Boeing 720,Neo-5,6512.31
F-15E Strike Eagle,200-96,4492.66
F-15E Strike Eagle,Neo-2,3003.52
F-15E Strike Eagle,LR-96,2594.33
F-15E Strike Eagle,ER-50,6287.11
B-21 Raider,Neo-30,1314.82
B-21 Raider,200-32,4996.63
B-21 Raider,Mk.I-28,2625.1
B-21 Raider,200-42,7580.82
MiG-31,100-72,6120.0
MiG-31,200-83,6859.8
MiG-31,Neo-95,1474.93
Su-30MKI,B-78,2629.8
Su-30MKI,100-46,7916.52
Su-30MKI,200-27,7824.59
Su-30MKI,LR-67,2420.44
J-20 Mighty Dragon,ER-39,4513.77
J-20 Mighty Dragon,Neo-69,7791.94
J-20 Mighty Dragon,Neo-66,1484.77
J-20 Mighty Dragon,Neo-32,6697.2
Shenyang FC-1,B-90,3060.69
Shenyang FC-1,B-49,7041.8
Shenyang FC-1,Neo-85,7573.01
Shenyang FC-1,LR-8,751.42
Lavochkin Su-7,100-82,4824.73
Lavochkin Su-7,B-49,4169.18
Lavochkin Su-7,Mk.I-43,6478.43
Lavochkin Su-7,100-88,6018.7
Mikoyan-Gurevich MiG-21,A-26,5161.9
Mikoyan-Gurevich MiG-21,200-28,7652.43
Mikoyan-Gurevich MiG-21,Neo-56,1854.66
Mikoyan-Gurevich MiG-21,B-90,4754.77
Mikoyan-Gurevich MiG-23,200-39,1031.15
Mikoyan-Gurevich MiG-23,Max-2,5591.8
Mikoyan-Gurevich MiG-23,LR-83,2038.01
Mikoyan-Gurevich MiG-23,A-66,3536.56
Mikoyan-Gurevich MiG-24,Mk.I-2,2754.77
Mikoyan-Gurevich MiG-24,B-43,1626.83
Mikoyan-Gurevich MiG-24,200-72,4697.35
Mikoyan-Gurevich MiG-24,LR-33,2216.57
Mikoyan-Gurevich MiG-27,A-19,845.65
Mikoyan-Gurevich MiG-27,Mk.I-56,2232.33
Mikoyan-Gurevich MiG-27,Mk.I-26,2699.96
Mikoyan-Gurevich MiG-27,LR-11,1584.94
